"Index","Type 1 Departments - Major A&E","Type 2 Departments - Single Specialty","Type 3 Departments - Other A&E/Minor Injury Unit","Total Attendances","Type 1 Departments - Major A&E > 4 hours","Type 2 Departments - Single Specialty > 4 hours","Type 3 Departments - Other A&E/Minor Injury Unit > 4 hours","Total Attendances > 4 hours","Emergency Admissions via Type 1 A&E","Total Emergency Admissions via A&E","Other Emergency Admissions (i.e not via A&E)","Total Emergency Admissions","Number of patients spending >4 hours from decision to admit to admission"
"2011.13461538462",261.795,12.818,123.429,398.042,11.975,0.022,0.107,12.104,68.867,69.89,30.277,100.167,2.165
"2011.15384615385",252.456,12.778,116.974,382.208,9.72,0.035,0.124,9.879,67.268,68.311,28.942,97.253,1.49
"2011.17307692308",260.401,12.887,124.853,398.141,10.169,0.022,0.154,10.345,68.069,69.241,29.311,98.552,1.544
"2011.19230769231",275.567,13.011,128.21,416.788,13.33,0.053,0.198,13.581,69.763,71.138,29.65,100.788,1.916
"2011.21153846154",278.671,13.204,133.128,425.003,13.669,0.098,0.178,13.945,69.927,71.945,30.405,102.35,2.017
"2011.23076923077",284.182,13.116,133.214,430.512,13.474,0.014,0.179,13.667,69.877,70.815,29.856,100.671,2.048
"2011.25",286.302,13.166,137.812,437.28,15.65,0.038,0.259,15.947,70.837,72.15,30.336,102.486,2.271
"2011.26923076923",283.175,12.906,136.985,433.066,15.347,0.034,0.172,15.553,69.864,70.972,29.5,100.472,2.251
"2011.28846153846",268.128,12.458,133.831,414.417,12.722,0.014,0.211,12.947,68.673,70.111,28.087,98.198,1.698
"2011.30769230769",279.872,13.429,137.622,430.923,12.058,0.048,0.12,12.226,68.947,70.305,26.442,96.747,1.506
"2011.32692307692",283.893,11.208,146.556,441.657,11.038,0.166,0.252,11.456,67.36,69.156,24.065,93.221,1.286
"2011.34615384615",280.121,12.336,138.904,431.361,13.665,0.212,0.21,14.087,67.728,68.984,26.367,95.351,1.929
"2011.36538461538",276.368,13.16,130.92,420.448,12.084,0.094,0.179,12.357,67.051,68.308,27.975,96.283,1.588
"2011.38461538462",275.401,13.264,132.185,420.85,11.502,0.041,0.154,11.697,68.229,69.53,28.406,97.936,1.44
"2011.40384615385",271.297,13.371,133.702,418.37,11.168,0.043,0.146,11.357,67.895,69.24,28.243,97.483,1.683
"2011.42307692308",272.805,11.672,134.026,418.503,12.64,0.036,0.172,12.848,68.023,69.255,24.917,94.172,1.697
"2011.44230769231",267.281,13.257,129.856,410.394,11.629,0.084,0.131,11.844,66.682,67.984,28.245,96.229,1.729
"2011.46153846154",270.572,13.036,129.801,413.409,11.703,0.028,0.129,11.86,67.606,68.868,28.181,97.049,1.706
"2011.48076923077",273.469,12.831,128.843,415.143,11.549,0.03,0.181,11.76,68.13,69.382,27.654,97.036,1.509
"2011.5",283.999,12.737,136.46,433.196,12.151,0.038,0.167,12.356,68.666,69.958,27.589,97.547,1.581
"2011.51923076923",279.033,12.852,137.576,429.461,10.982,0.075,0.3,11.357,67.653,69.016,27.783,96.799,1.563
"2011.53846153846",274.093,12.918,136.212,423.223,9.026,0.023,0.212,9.261,68.432,69.994,27.491,97.485,1.216
"2011.55769230769",267.032,12.576,131.702,411.31,8.766,0.064,0.117,8.947,66.671,68.115,26.964,95.079,0.996
"2011.57692307692",269.194,12.399,133.717,415.31,9.85,0.03,0.145,10.025,66.893,68.058,26.571,94.629,1.192
"2011.59615384615",267.399,11.654,134.268,413.321,12.318,0.043,0.142,12.503,66.58,67.849,26.403,94.252,1.44
"2011.61538461538",253.458,11.562,127.405,392.425,9.699,0.008,0.073,9.78,65.543,67.114,25.884,92.998,1.064
"2011.63461538462",253.074,12.032,126.802,391.908,9.021,0.022,0.085,9.128,64.679,66.182,25.974,92.156,0.932
"2011.65384615385",250.09,11.928,126.136,388.154,8.611,0.027,0.177,8.815,64.777,65.987,25.989,91.976,0.926
"2011.67307692308",260.821,11,130.213,402.034,11.167,0.037,0.114,11.318,66.044,67.248,24.154,91.402,1.466
"2011.69230769231",260.414,12.191,126.786,399.391,11.899,0.059,0.196,12.154,66.046,67.741,26.442,94.183,1.87
"2011.71153846154",270.874,12.614,131.707,415.195,12.268,0.032,0.168,12.468,67.948,69.444,26.559,96.003,1.703
"2011.73076923077",275.735,12.66,132.973,421.368,12.137,0.039,0.167,12.343,68.961,70.306,27.167,97.473,1.579
"2011.75",288.511,12.01,141.211,441.732,16.502,0.04,0.202,16.744,70.498,71.927,27.294,99.221,2.058
"2011.76923076923",281.814,12.549,140.941,435.304,15.282,0.054,0.171,15.507,69.551,71.231,28.026,99.257,2.328
"2011.78846153846",275.382,12.572,136.922,424.876,13.714,0.048,0.243,14.005,69.389,70.706,28.04,98.746,2.126
"2011.80769230769",263.261,12.271,131.207,406.739,11.51,0.054,0.138,11.702,67.768,69.029,27.815,96.844,1.605
"2011.82692307692",259.704,11.846,126.003,397.553,14.048,0.034,0.124,14.206,69.199,70.495,27.303,97.798,2.049
"2011.84615384615",266.806,12.445,128.368,407.619,15.487,0.033,0.221,15.741,69.32,71.395,27.209,98.604,2.675
"2011.86538461538",262.969,12.254,129.421,404.644,12.402,0.051,0.142,12.595,68.583,70.176,27.707,97.883,1.859
"2011.88461538462",264.091,11.984,129.972,406.047,11.903,0.015,0.178,12.096,69.125,70.741,28.35,99.091,1.693
"2011.90384615385",267.207,11.928,130.934,410.069,14.297,0.024,0.232,14.553,69.748,71.505,29.118,100.623,2.147
"2011.92307692308",261.337,11.525,126.822,399.684,14.721,0.049,0.153,14.923,69.656,71.331,28.471,99.802,2.214
"2011.94230769231",262.788,11.449,124.693,398.93,17.397,0.029,0.167,17.593,69.819,71.414,27.55,98.964,2.799
"2011.96153846154",261.516,11.4,122.296,395.212,20.689,0.011,0.256,20.956,71.193,72.827,28.099,100.926,3.129
"2011.98076923077",241.551,10.577,113.075,365.203,11.872,0.029,0.13,12.031,68.543,70.074,27.569,97.643,1.909
"2012",264.152,9.274,128.269,401.695,15.716,0.02,0.276,16.012,75.081,76.932,24.676,101.608,2.151
"2012.01923076923",257.709,10.901,127.093,395.703,20.972,0.011,0.136,21.119,71.062,72.797,25.802,98.599,4.305
"2012.03846153846",250.227,11.845,119.959,382.031,15.477,0.014,0.106,15.597,67.723,69.297,27.314,96.611,3.081
"2012.05769230769",254.178,12.045,121.777,388,14.029,0.015,0.118,14.162,68.668,70.296,28.032,98.328,2.785
"2012.07692307692",265.663,12.073,126.773,404.509,16.441,0.014,0.157,16.612,69.986,71.868,28.402,100.27,2.938
"2012.09615384615",253.409,11.964,119.242,384.615,13.722,0.009,0.161,13.892,68.201,69.999,27.565,97.564,2.556
"2012.11538461538",264.1,11.489,125.075,400.664,18.211,0.014,0.308,18.533,70.703,72.56,27.738,100.298,3.573
"2012.13461538462",270.624,12.377,129.533,412.534,24.468,0.031,0.239,24.738,73.113,74.768,28.136,102.904,4.564
"2012.15384615385",283.709,13.076,135.211,431.996,23.675,0.037,0.306,24.018,73.312,74.999,28.803,103.802,4.198
"2012.17307692308",282.295,13.225,134.543,430.063,18.84,0.043,0.286,19.169,71.712,73.667,28.673,102.34,3.588
"2012.19230769231",280.48,13.237,135.872,429.589,14.45,0.058,0.16,14.668,71.855,73.55,29.016,102.566,2.449
"2012.21153846154",282.198,13.187,135.662,431.047,13.224,0.045,0.243,13.512,71.288,72.97,28.635,101.605,1.825
"2012.23076923077",289.792,13.5,141.032,444.324,15.454,0.097,0.27,15.821,72.277,73.574,28.675,102.249,2.161
"2012.25",290.851,12.942,142.39,446.183,13.786,0.036,0.169,13.991,73.295,74.521,29.891,104.412,1.999
"2012.26923076923",270.552,11.231,137.463,419.246,13.081,0.046,0.255,13.382,71.249,72.35,26.814,99.164,1.857
"2012.28846153846",269.266,11.496,136.336,417.098,19.022,0.043,0.234,19.299,71.07,72.427,25.697,98.124,3.152
"2012.30769230769",266.261,12.782,129.539,408.582,14.969,0.026,0.181,15.176,70.01,71.174,27.896,99.07,2.487
"2012.32692307692",263.122,12.466,125.627,401.215,12.688,0.053,0.201,12.942,69.648,70.795,27.718,98.513,2.112
"2012.34615384615",272.178,13.058,132.257,417.493,12.173,0.037,0.133,12.343,71.059,72.194,28.199,100.393,1.667
"2012.36538461538",280.641,12.105,140.722,433.468,13.903,0.037,0.179,14.119,71.483,72.57,26.059,98.629,2.007
"2012.38461538462",276.373,13.113,138.4,427.886,12.546,0.036,0.175,12.757,70.296,71.534,27.931,99.465,2.01
"2012.40384615385",291.878,12.509,142.096,446.483,15.153,0.012,0.352,15.517,72.059,73.191,27.983,101.174,2.213
"2012.42307692308",296.147,13.12,152.527,461.794,14.646,0.037,0.276,14.959,72.197,73.425,29.052,102.477,1.788
"2012.44230769231",282.338,11.11,147.492,440.94,13.132,0.043,0.2,13.375,71.019,72.168,23.693,95.861,1.862
"2012.46153846154",275.902,12.882,135.739,424.523,14.561,0.051,0.133,14.745,70.895,72.01,27.312,99.322,2.121
"2012.48076923077",283.851,13.159,140.382,437.392,13.298,0.027,0.205,13.53,70.583,71.718,26.92,98.638,1.974
"2012.5",295.252,13.047,143.288,451.587,15.311,0.063,0.234,15.608,72.994,74.249,28.728,102.977,1.967
"2012.51923076923",284.468,12.772,139.935,437.175,13.804,0.094,0.25,14.148,72.111,73.288,28.703,101.991,1.863
"2012.53846153846",282.532,12.722,138.309,433.563,12.12,0.047,0.199,12.366,72.048,73.228,28.23,101.458,1.572
"2012.55769230769",279.634,12.507,138.934,431.075,11.596,0.04,0.217,11.853,71.502,72.692,28.036,100.728,1.527
"2012.57692307692",283.929,12.017,144.429,440.375,12.398,0.018,0.17,12.586,70.442,71.536,27.067,98.603,1.619
"2012.59615384615",266.74,12.285,133.355,412.38,11.228,0.031,0.119,11.378,68.643,69.747,26.377,96.124,1.41
"2012.61538461538",268.09,11.893,132.793,412.776,11.231,0.016,0.153,11.4,68.221,69.331,26.213,95.544,1.598
"2012.63461538462",276.793,12.053,135.574,424.42,14.921,0.031,0.181,15.133,70.544,71.639,26.405,98.044,1.864
"2012.65384615385",271.968,12.231,136.813,421.012,12.374,0.024,0.206,12.604,69.416,70.506,26.22,96.726,1.603
"2012.67307692308",266.006,11.134,132.188,409.328,10.07,0.026,0.184,10.28,68.011,69.139,23.539,92.678,1.478
"2012.69230769231",273.52,12.122,130.502,416.144,12.647,0.022,0.145,12.814,69.413,70.523,25.648,96.171,1.7
"2012.71153846154",278.694,12.159,132.507,423.36,14.06,0.017,0.195,14.272,70.866,71.892,26.91,98.802,2.211
"2012.73076923077",273.897,12.165,130.541,416.603,12.776,0.045,0.194,13.015,71.121,72.262,27.077,99.339,1.945
"2012.75",276.248,11.899,127.286,415.433,15.914,0.033,0.125,16.072,72.585,73.811,27.176,100.987,2.744
"2012.76923076923",278.923,12.031,130.783,421.737,16.39,0.058,0.17,16.618,72.095,73.235,27.797,101.032,2.769
"2012.78846153846",276.317,12.041,130.199,418.557,14.618,0.048,0.156,14.822,71.539,72.634,28.027,100.661,2.491
"2012.80769230769",278.68,12.271,129.086,420.037,17.27,0.037,0.149,17.456,72.616,73.759,28.484,102.243,2.629
"2012.82692307692",269.012,11.908,123.1,404.02,13.645,0.033,0.159,13.837,71.225,72.438,27.351,99.789,2.244
"2012.84615384615",260.17,12.068,119.653,391.891,14.121,0.041,0.154,14.316,71.036,72.204,27.144,99.348,2.23
"2012.86538461538",273.634,12.228,124.958,410.82,16.129,0.032,0.122,16.283,72.378,73.546,27.839,101.385,2.834
"2012.88461538462",277.766,12.239,127.276,417.281,16.434,0.049,0.146,16.629,72.196,73.37,28.215,101.585,2.71
"2012.90384615385",275.413,11.961,127.061,414.435,16.312,0.073,0.221,16.606,72.777,73.967,28.958,102.925,2.657
"2012.92307692308",269.397,11.873,123.514,404.784,16.996,0.056,0.19,17.242,72.097,73.287,28.415,101.702,2.92
"2012.94230769231",272.796,11.202,125.892,409.89,20.844,0.04,0.216,21.1,72.967,73.765,28.373,102.138,3.802
"2012.96153846154",275.421,11.379,127.9,414.7,24.765,0.026,0.284,25.075,74.094,74.895,27.884,102.779,4.209
"2012.98076923077",275.155,11.738,137.388,424.281,23.667,0.039,0.295,24.001,74.209,75.06,28.676,103.736,3.981
"2013",263.037,8.375,127.602,399.014,17.729,0.013,0.242,17.984,74.35,75.153,23.94,99.093,2.84
"2013.01923076923",270.905,10.27,131.041,412.216,28.426,0.028,0.248,28.702,74.271,75.102,25.537,100.639,5.872
"2013.03846153846",255.06,11.953,122.223,389.236,20.42,0.028,0.18,20.628,70.458,71.177,26.915,98.092,4.584
"2013.05769230769",242.443,10.466,107.83,360.739,15.102,0.026,0.151,15.279,68.594,69.31,25.98,95.29,3.047
"2013.07692307692",260.047,11.228,116.761,388.036,19.817,0.02,0.194,20.031,71.424,72.199,26.839,99.038,4.24
"2013.09615384615",280.145,12.37,130.599,423.114,24.207,0.06,0.271,24.538,73.559,74.356,28.068,102.424,4.909
"2013.11538461538",272.377,12.471,130.191,415.039,21.375,0.056,0.251,21.682,71.818,72.685,28.149,100.834,4.378
"2013.13461538462",270.103,12.033,127.45,409.586,23.851,0.068,0.231,24.15,72.851,73.739,27.605,101.344,4.563
"2013.15384615385",262.922,12.185,125.619,400.726,21.676,0.074,0.23,21.98,72.163,72.949,27.338,100.287,4.51
"2013.17307692308",279.77,12.215,131.625,423.61,27.353,0.067,0.202,27.622,73.827,74.648,27.884,102.532,5.983
"2013.19230769231",284.553,12.326,133.89,430.769,31.092,0.066,0.325,31.483,74.863,75.716,28.932,104.648,6.399
"2013.21153846154",277.827,12.519,130.651,420.997,27.249,0.079,0.186,27.514,74.008,74.917,28.17,103.087,5.962
"2013.23076923077",272.813,12.52,129.466,414.799,27.27,0.092,0.246,27.608,73.231,74.048,28.147,102.195,5.471
"2013.25",271.102,11.619,134.251,416.972,22.197,0.065,0.29,22.552,72.931,73.777,25.989,99.766,3.999
"2013.26923076923",276.618,11.564,136.317,424.499,33.233,0.064,0.326,33.623,72.547,73.401,25.526,98.927,6.773
"2013.28846153846",274.44,12.64,130.683,417.763,34.595,0.075,0.236,34.906,72.671,73.533,27.691,101.224,7.201
"2013.30769230769",285.142,13.14,135.164,433.446,28.024,0.125,0.245,28.394,72.45,73.257,28.172,101.429,5.442
"2013.32692307692",281.612,13.19,135.759,430.561,18.644,0.049,0.198,18.891,71.002,71.876,27.355,99.231,3.468
"2013.34615384615",284.47,13.202,140.358,438.03,14.802,0.055,0.22,15.077,71.271,72.088,27.43,99.518,2.105
"2013.36538461538",287.84,12.01,143.868,443.718,15.863,0.078,0.271,16.212,71.994,72.845,26.147,98.992,2.242
"2013.38461538462",274.144,12.571,134.144,420.859,14.453,0.069,0.189,14.711,71.275,72.106,27.752,99.858,2.307
"2013.40384615385",273.477,12.669,134.158,420.304,13.465,0.086,0.19,13.741,71.819,72.684,27.087,99.771,2.185
"2013.42307692308",267.531,11.268,132.676,411.475,12.881,0.031,0.234,13.146,70.106,70.893,24.297,95.19,1.98
"2013.44230769231",274.663,12.49,135.155,422.308,13.321,0.026,0.231,13.578,69.882,70.714,26.223,96.937,2.066
"2013.46153846154",275.041,12.76,134.204,422.005,13.246,0.042,0.225,13.513,71.609,72.428,26.924,99.352,2.032
"2013.48076923077",284.197,13.128,139.708,437.033,14.085,0.053,0.189,14.327,71.785,72.626,27.787,100.413,2.368
"2013.5",281.014,12.992,138.12,432.126,10.941,0.063,0.162,11.166,70.745,71.566,27.734,99.3,1.35
"2013.51923076923",287.36,12.947,140.444,440.751,13.635,0.081,0.273,13.989,71.951,72.802,27.505,100.307,1.681
"2013.53846153846",296.5,12.535,148.64,457.675,13.475,0.051,0.189,13.715,72.405,73.225,26.997,100.222,1.967
"2013.55769230769",295.791,12.208,149.047,457.046,14.979,0.061,0.304,15.344,72.53,73.396,27.699,101.095,2.068
"2013.57692307692",285.36,12.536,142.857,440.753,16.191,0.077,0.178,16.446,71.897,72.691,27.693,100.384,2.637
"2013.59615384615",272.274,12.39,135.485,420.149,13.994,0.031,0.196,14.221,70.016,70.83,26.804,97.634,2.217
"2013.61538461538",266.98,12.267,134.214,413.461,14.288,0.065,0.195,14.548,69.363,70.158,25.961,96.119,2.237
"2013.63461538462",261.58,11.984,129.971,403.535,14.894,0.041,0.143,15.078,69.665,70.452,25.704,96.156,2.164
"2013.65384615385",268.756,12.261,136.199,417.216,15.598,0.047,0.244,15.889,70.69,71.512,26.038,97.55,2.399
"2013.67307692308",276.232,11.255,139.856,427.343,17.013,0.015,0.186,17.214,70.187,70.994,23.848,94.842,2.767
"2013.69230769231",267.587,12.086,130.99,410.663,16.215,0.034,0.167,16.416,70.008,70.732,26.856,97.588,2.986
"2013.71153846154",258.761,11.975,124.601,395.337,13.092,0.034,0.13,13.256,70.033,70.852,27.021,97.873,2.287
"2013.73076923077",269.769,12.412,128.688,410.869,19.153,0.028,0.202,19.383,73.746,74.553,27.73,102.283,3.591
"2013.75",281.5,12.483,136.37,430.353,20.024,0.035,0.241,20.3,73.542,74.399,27.653,102.052,3.638
"2013.76923076923",276.433,12.234,134.677,423.344,18.812,0.031,0.264,19.107,71.976,72.822,28.214,101.036,3.398
"2013.78846153846",271.969,11.825,131.568,415.362,16.741,0.026,0.215,16.982,71.899,72.652,27.7,100.352,2.971
"2013.80769230769",269.023,11.888,129.592,410.503,17.882,0.047,0.213,18.142,73.349,74.185,28.508,102.693,3.33
"2013.82692307692",275.296,11.866,131.204,418.366,19.567,0.017,0.2,19.784,74.651,75.505,28.103,103.608,3.433
"2013.84615384615",255.549,11.62,121.912,389.081,13.709,0.016,0.213,13.938,70.739,71.506,27.152,98.658,2.109
"2013.86538461538",264.517,11.927,125.004,401.448,15.792,0.043,0.196,16.031,73.299,74.113,28.243,102.356,2.564
"2013.88461538462",266.406,11.929,128.28,406.615,15.708,0.037,0.196,15.941,73.516,74.379,28.18,102.559,2.597
"2013.90384615385",265.953,11.772,127.097,404.822,17.136,0.011,0.225,17.372,74.172,75.002,29.265,104.267,3.263
"2013.92307692308",271.501,11.693,129.109,412.303,17.773,0.034,0.234,18.041,74.749,75.585,29.602,105.187,3.005
"2013.94230769231",273.931,11.697,130.162,415.79,21.276,0.017,0.25,21.543,74.825,75.945,29.678,105.623,3.671
"2013.96153846154",273.068,11.569,131.335,415.972,21.629,0.017,0.222,21.868,75.657,76.626,29.526,106.152,3.971
"2013.98076923077",265.814,11.612,131.075,408.501,18.009,0.034,0.155,18.198,75.572,76.46,30.12,106.58,3.499
"2014",247.02,8.401,116.741,372.162,13.366,0.006,0.173,13.545,74.849,75.648,23.87,99.518,2.08
"2014.01923076923",256.873,10.007,120.583,387.463,21.858,0.025,0.23,22.113,76.098,76.975,26.338,103.313,5.128
"2014.03846153846",250.926,11.851,120.789,383.566,20.875,0.034,0.174,21.083,73.105,73.89,27.922,101.812,5.227
"2014.05769230769",256.739,11.829,121.964,390.532,17.591,0.039,0.149,17.779,73.792,74.577,28.515,103.092,4.068
"2014.07692307692",260.565,11.881,125.572,398.018,15.389,0.055,0.144,15.588,73.919,74.767,28.884,103.651,3.203
"2014.09615384615",266.802,11.691,128.436,406.929,18.993,0.041,0.217,19.251,75.201,76.085,28.968,105.053,3.976
"2014.11538461538",273.428,11.702,133.283,418.413,23.572,0.032,0.214,23.818,76.242,77.088,29.142,106.23,5.376
"2014.13461538462",267.564,11.729,129.825,409.118,22.87,0.045,0.289,23.204,75.454,76.293,28.205,104.498,5.411
"2014.15384615385",267.749,11.962,131.167,410.878,20.234,0.046,0.209,20.489,74.869,75.739,28.26,103.999,3.942
"2014.17307692308",279.683,12.56,137.753,429.996,22.15,0.043,0.333,22.526,76.333,77.176,28.867,106.043,4.72
"2014.19230769231",285.649,12.613,140.353,438.615,21.55,0.026,0.339,21.915,75.87,76.688,29.048,105.736,4.11
"2014.21153846154",289.532,12.783,144.535,446.85,16.433,0.058,0.238,16.729,75.096,75.897,28.663,104.56,2.717
"2014.23076923077",291.12,12.718,147.117,450.955,18.359,0.074,0.419,18.852,77.142,77.994,28.863,106.857,3.172
"2014.25",281.399,12.282,140.096,433.777,17.941,0.033,0.289,18.263,75.243,76.11,28.831,104.941,3.082
"2014.26923076923",292.787,12.695,144.533,450.015,24.998,0.051,0.387,25.436,77.868,78.767,29.448,108.215,4.903
"2014.28846153846",277.633,12.602,137.849,428.084,19.485,0.027,0.281,19.793,75.742,76.617,28.323,104.94,3.551
"2014.30769230769",276.715,11.366,144.596,432.677,14.665,0.008,0.279,14.952,74.595,75.394,25.954,101.348,2.201
"2014.32692307692",284.929,11.621,145.609,442.159,22.634,0.033,0.358,23.025,76.458,77.354,26.734,104.088,4.262
"2014.34615384615",286.6,12.981,141.486,441.067,21.525,0.045,0.328,21.898,76.529,77.446,28.837,106.283,3.763
"2014.36538461538",291.999,11.992,144.942,448.933,22.666,0.043,0.275,22.984,76.308,77.23,26.807,104.037,3.98
"2014.38461538462",294.595,12.631,142.993,450.219,22.748,0.037,0.335,23.12,77.042,77.936,28.589,106.525,4.041
"2014.40384615385",296.666,12.709,148.416,457.791,24.153,0.04,0.321,24.514,77.702,78.573,29.232,107.805,4.298
"2014.42307692308",280.352,11.312,138.891,430.555,21.805,0.092,0.338,22.235,75.215,76.028,25.438,101.466,3.912
"2014.44230769231",290.524,13.195,140.478,444.197,24.527,0.094,0.374,24.995,76.76,77.645,27.902,105.547,4.18
"2014.46153846154",297.437,12.758,145.681,455.876,21.587,0.05,0.439,22.076,76.469,77.371,28.042,105.413,3.542
"2014.48076923077",298.955,13.136,148.845,460.936,18.995,0.077,0.456,19.528,76.008,76.905,28.344,105.249,2.84
"2014.5",296.047,12.486,146.858,455.391,19.521,0.061,0.423,20.005,76.136,77.005,27.947,104.952,3.094
"2014.51923076923",295.385,12.643,142.493,450.521,21.231,0.029,0.323,21.583,76.627,77.537,28.591,106.128,3.565
"2014.53846153846",297.242,12.825,143.054,453.121,20.599,0.095,0.291,20.985,76.152,77.031,28.653,105.684,3.358
"2014.55769230769",298.711,12.654,145.234,456.599,23.15,0.102,0.32,23.572,76.824,77.684,28.007,105.691,4.226
"2014.57692307692",293.482,12.483,145.149,451.114,21.939,0.07,0.344,22.353,74.654,75.518,27.576,103.094,4.076
"2014.59615384615",279.941,12.239,139.433,431.613,18.607,0.035,0.367,19.009,72.647,73.45,27.501,100.951,3.325
"2014.61538461538",274.519,12.295,134.565,421.379,20.422,0.033,0.269,20.724,72.529,73.363,26.999,100.362,3.331
"2014.63461538462",262.32,12.162,127.151,401.633,18.138,0.052,0.245,18.435,71.856,72.658,26.429,99.087,3.148
"2014.65384615385",259.929,12.304,125.106,397.339,17.228,0.056,0.294,17.578,72.777,73.634,26.848,100.482,2.871
"2014.67307692308",271.404,11.045,129.533,411.982,23.561,0.073,0.362,23.996,73.342,74.143,24.419,98.562,4.961
"2014.69230769231",278.96,12.104,131.773,422.837,25.47,0.084,0.415,25.969,74.269,75.116,27.273,102.389,5.247
"2014.71153846154",283.233,12.168,135.656,431.057,21.75,0.071,0.369,22.19,75.027,75.854,27.37,103.224,4.35
"2014.73076923077",291.219,12.247,137.734,441.2,23.177,0.063,0.297,23.537,76.597,77.462,28.114,105.576,4.575
"2014.75",286.005,12.196,135.643,433.844,20.933,0.038,0.313,21.284,75.937,76.807,27.818,104.625,4.009
"2014.76923076923",288.276,12.181,134.76,435.217,23.565,0.074,0.405,24.044,76.659,77.534,28.558,106.092,5.005
"2014.78846153846",279.293,12.299,131.044,422.636,25.624,0.031,0.314,25.969,76.281,77.272,28.111,105.383,5.618
"2014.80769230769",287.252,12.417,133.723,433.392,29.884,0.043,0.396,30.323,78.115,79.112,28.604,107.716,6.452
"2014.82692307692",281.392,12.333,133.566,427.291,26.378,0.03,0.381,26.789,76.333,77.212,28.262,105.474,5.414
"2014.84615384615",274.772,12.15,130.538,417.46,25.796,0.034,0.382,26.212,76.086,77.015,27.866,104.881,5.435
"2014.86538461538",275.492,12.631,130.29,418.413,26.887,0.051,0.426,27.364,76.055,77.271,28.782,106.053,6.076
"2014.88461538462",283.727,12.416,133.144,429.287,30.04,0.091,0.416,30.547,77.679,78.93,29.433,108.363,6.641
"2014.90384615385",282.925,12.064,135.397,430.386,25.889,0.031,0.404,26.324,77.613,78.792,30.518,109.31,5.797
"2014.92307692308",284.869,11.747,136.484,433.1,27.478,0.108,0.421,28.007,78.838,80.081,30.569,110.65,5.597
"2014.94230769231",286.577,11.681,138.119,436.377,35.347,0.02,0.545,35.912,79.182,80.428,29.88,110.308,7.803
"2014.96153846154",288.729,11.545,140.173,440.447,44.129,0.061,0.669,44.859,79.952,81.253,29.887,111.14,10.182
"2014.98076923077",289.558,11.651,145.292,446.501,49.053,0.036,0.736,49.825,80.929,82.227,30.379,112.606,12.725
"2015",262.888,8.463,131.963,403.314,37.492,0.037,0.75,38.279,79.181,80.401,23.842,104.243,8.274
"2015.01923076923",266.333,10.079,131.622,408.034,53.706,0.031,0.583,54.32,79.865,80.97,26.512,107.482,16.33
"2015.03846153846",249.648,11.858,127.871,389.377,39.188,0.044,0.493,39.725,75.546,76.645,28.557,105.202,11.974
"2015.05769230769",245.85,11.52,120.97,378.34,28.545,0.022,0.37,28.937,73.547,74.618,28.367,102.985,8.926
"2015.07692307692",253.374,11.521,125.039,389.934,26.75,0.02,0.341,27.111,74.659,75.743,28.446,104.189,7.472
"2015.09615384615",260.126,11.949,128.914,400.989,30.367,0.069,0.298,30.734,74.993,76.048,28.493,104.541,8.4
