Time,hicp_NRGY00
1998-02-01,72.85
1998-03-01,72.35
1998-04-01,72.5
1998-05-01,72.09
1998-06-01,71.72
1998-07-01,71.62
1998-08-01,71.31
1998-09-01,71.09
1998-10-01,71.08
1998-11-01,70.78
1998-12-01,70.25
1999-01-01,69.94
1999-02-01,69.74
1999-03-01,70.33
1999-04-01,72.73
1999-05-01,72.48
1999-06-01,72.76
1999-07-01,73.94
1999-08-01,74.89
1999-09-01,75.66
1999-10-01,75.68
1999-11-01,75.91
1999-12-01,77.36
2000-01-01,78.38
2000-02-01,79.16
2000-03-01,81.04
2000-04-01,80.11
2000-05-01,81.1
2000-06-01,83.21
2000-07-01,83.68
2000-08-01,83.59
2000-09-01,87.08
2000-10-01,86.33
2000-11-01,87.08
2000-12-01,85.66
2001-01-01,84.0
2001-02-01,85.11
2001-03-01,84.98
2001-04-01,85.85
2001-05-01,87.53
2001-06-01,87.3
2001-07-01,85.69
2001-08-01,84.86
2001-09-01,85.59
2001-10-01,83.72
2001-11-01,82.5
2001-12-01,81.63
2002-01-01,82.42
2002-02-01,82.63
2002-03-01,83.69
2002-04-01,85.44
2002-05-01,85.04
2002-06-01,84.19
2002-07-01,84.31
2002-08-01,84.62
2002-09-01,85.43
2002-10-01,85.91
2002-11-01,84.47
2002-12-01,84.71
2003-01-01,87.34
2003-02-01,88.96
2003-03-01,89.93
2003-04-01,87.33
2003-05-01,85.55
2003-06-01,85.51
2003-07-01,85.99
2003-08-01,86.87
2003-09-01,86.83
2003-10-01,86.52
2003-11-01,86.37
2003-12-01,86.21
2004-01-01,87.02
2004-02-01,86.97
2004-03-01,88.13
2004-04-01,89.07
2004-05-01,91.25
2004-06-01,90.57
2004-07-01,91.11
2004-08-01,92.5
2004-09-01,92.36
2004-10-01,95.0
2004-11-01,93.87
2004-12-01,92.18
2005-01-01,92.44
2005-02-01,93.7
2005-03-01,95.87
2005-04-01,98.09
2005-05-01,97.49
2005-06-01,99.05
2005-07-01,101.77
2005-08-01,103.1
2005-09-01,106.23
2005-10-01,106.48
2005-11-01,103.27
2005-12-01,102.52
2006-01-01,105.0
2006-02-01,105.44
2006-03-01,105.94
2006-04-01,108.91
2006-05-01,110.02
2006-06-01,109.94
2006-07-01,111.43
2006-08-01,111.49
2006-09-01,107.87
2006-10-01,105.94
2006-11-01,105.4
2006-12-01,105.53
2007-01-01,105.9
2007-02-01,106.24
2007-03-01,107.85
2007-04-01,109.34
2007-05-01,110.35
2007-06-01,110.93
2007-07-01,111.44
2007-08-01,110.46
2007-09-01,111.14
2007-10-01,111.8
2007-11-01,115.64
2007-12-01,115.24
2008-01-01,117.13
2008-02-01,117.27
2008-03-01,119.98
2008-04-01,121.19
2008-05-01,125.51
2008-06-01,128.83
2008-07-01,130.53
2008-08-01,126.61
2008-09-01,126.16
2008-10-01,122.54
2008-11-01,116.48
2008-12-01,111.01
2009-01-01,110.98
2009-02-01,111.57
2009-03-01,110.26
2009-04-01,110.53
2009-05-01,110.97
2009-06-01,113.74
2009-07-01,111.74
2009-08-01,113.75
2009-09-01,112.33
2009-10-01,112.14
2009-11-01,113.68
2009-12-01,113.06
2010-01-01,115.41
2010-02-01,115.26
2010-03-01,118.21
2010-04-01,120.55
2010-05-01,121.23
2010-06-01,120.77
2010-07-01,120.83
2010-08-01,120.66
2010-09-01,121.02
2010-10-01,121.72
2010-11-01,122.68
2010-12-01,125.49
2011-01-01,129.24
2011-02-01,130.34
2011-03-01,133.62
2011-04-01,135.56
2011-05-01,134.69
2011-06-01,133.98
2011-07-01,135.11
2011-08-01,134.86
2011-09-01,136.06
2011-10-01,136.86
2011-11-01,137.75
2011-12-01,137.64
2012-01-01,141.17
2012-02-01,142.78
2012-03-01,145.03
2012-04-01,146.6
2012-05-01,144.55
2012-06-01,142.15
2012-07-01,143.36
2012-08-01,146.82
2012-09-01,148.43
2012-10-01,147.76
2012-11-01,145.63
2012-12-01,144.84
2013-01-01,146.67
2013-02-01,148.38
2013-03-01,147.45
2013-04-01,145.98
2013-05-01,144.22
2013-06-01,144.39
2013-07-01,145.61
2013-08-01,146.33
2013-09-01,147.02
2013-10-01,145.19
2013-11-01,144.05
2013-12-01,144.86
