Time,hicp_SERV00
2000-01-01,87.17
2000-01-31,87.44
2000-03-01,87.41
2000-04-01,87.61
2000-05-01,87.51
2000-06-01,87.79
2000-07-01,88.51
2000-07-31,88.52
2000-08-31,88.18
2000-09-30,88.14
2000-10-31,88.08
2000-11-30,89.07
2001-01-01,88.86
2001-01-31,89.24
2001-03-02,89.24
2001-04-02,89.63
2001-05-02,89.66
2001-06-02,89.98
2001-07-02,90.71
2001-08-01,90.79
2001-09-01,90.55
2001-10-01,90.59
2001-11-01,90.6
2001-12-01,91.56
2002-01-01,91.48
2002-01-31,91.94
2002-03-02,92.13
2002-04-02,92.23
2002-05-02,92.61
2002-06-02,92.86
2002-07-02,93.64
2002-08-01,93.79
2002-09-01,93.46
2002-10-01,93.43
2002-11-01,93.4
2002-12-01,94.27
2003-01-01,94.06
2003-01-31,94.45
2003-03-02,94.56
2003-04-02,94.89
2003-05-02,94.89
2003-06-02,95.19
2003-07-02,95.82
2003-08-01,96.13
2003-09-01,95.83
2003-10-01,95.73
2003-11-01,95.63
2003-12-01,96.44
2004-01-01,96.43
2004-01-31,96.91
2004-03-01,96.96
2004-04-01,97.25
2004-05-01,97.33
2004-06-01,97.68
2004-07-01,98.39
2004-07-31,98.69
2004-08-31,98.3
2004-09-30,98.24
2004-10-31,98.17
2004-11-30,99.05
2005-01-01,98.77
2005-01-31,99.2
2005-03-02,99.39
2005-04-02,99.35
2005-05-02,99.75
2005-06-02,99.87
2005-07-02,100.61
2005-08-01,100.9
2005-09-01,100.43
2005-10-01,100.37
2005-11-01,100.23
2005-12-01,101.12
2006-01-01,100.72
2006-01-31,101.17
2006-03-02,101.25
2006-04-02,101.49
2006-05-02,101.58
2006-06-02,101.87
2006-07-02,102.71
2006-08-01,102.86
2006-09-01,102.42
2006-10-01,102.44
2006-11-01,102.3
2006-12-01,103.18
2007-01-01,103.05
2007-01-31,103.59
2007-03-02,103.64
2007-04-02,104.03
2007-05-02,104.25
2007-06-02,104.48
2007-07-02,105.36
2007-08-01,105.52
2007-09-01,104.95
2007-10-01,104.97
2007-11-01,104.87
2007-12-01,105.8
2008-01-01,105.6
2008-01-31,106.12
2008-03-01,106.55
2008-04-01,106.39
2008-05-01,106.82
2008-06-01,107.12
2008-07-01,108.07
2008-07-31,108.38
2008-08-31,107.67
2008-09-30,107.73
2008-10-31,107.62
2008-11-30,108.53
2009-01-01,108.13
2009-01-31,108.66
2009-03-02,108.6
2009-04-02,109.01
2009-05-02,109.06
2009-06-02,109.21
2009-07-02,110.09
2009-08-01,110.33
2009-09-01,109.56
2009-10-01,109.62
2009-11-01,109.36
2009-12-01,110.27
2010-01-01,109.69
2010-01-31,110.12
2010-03-02,110.33
2010-04-02,110.29
2010-05-02,110.43
2010-06-02,110.64
2010-07-02,111.59
2010-08-01,111.9
2010-09-01,111.06
2010-10-01,111.1
2010-11-01,110.8
2010-12-01,111.68
2011-01-01,111.3
2011-01-31,111.9
2011-03-02,112.11
2011-04-02,112.51
2011-05-02,112.4
2011-06-02,112.81
2011-07-02,113.86
2011-08-01,114.14
2011-09-01,113.2
2011-10-01,113.12
2011-11-01,112.83
2011-12-01,113.85
2012-01-01,113.41
2012-01-31,113.94
2012-03-01,114.08
2012-04-01,114.47
2012-05-01,114.41
2012-06-01,114.77
2012-07-01,115.92
2012-07-31,116.21
2012-08-31,115.13
2012-09-30,115.08
2012-10-31,114.68
2012-11-30,115.89
2013-01-01,115.27
2013-01-31,115.7
2013-03-02,116.19
2013-04-02,115.72
2013-05-02,116.08
2013-06-02,116.43
2013-07-02,117.55
2013-08-01,117.88
2013-09-01,116.79
2013-10-01,116.43
2013-11-01,116.34
2013-12-01,117.07
